lsoa11,r_dec,h_dec,e_dec,ahah_dec,r_dom,h_dom,e_dom,ahah
E01000249,8,3,5,4,32.00285824,5.838622397,12.81580494,16.77529046
E01000250,10,1,5,6,52.00436062,1.114100632,13.10444567,21.86470029
E01000251,10,1,6,9,69.28539738,0.553927429,17.42440743,28.80257091
E01000252,9,2,6,5,35.98859047,3.893110717,16.36857979,18.60152383
E01000253,5,7,5,3,11.97924172,21.59394765,12.76931216,15.50896498
E01000254,8,3,4,3,30.65213097,6.631230308,9.566927649,15.52690765
E01000255,4,6,5,3,10.12535877,18.10515928,14.96677077,14.4361569
E01000256,4,7,6,4,10.69508794,23.68685055,17.04687492,17.20837693
E01000257,8,4,6,6,32.27349273,8.398847107,20.61883494,20.31007615
E01000258,8,3,6,5,33.87031697,6.544292401,19.11560821,19.71041473
E01000259,6,6,6,4,17.14297135,15.87402749,19.27353081,17.41461506
E01000260,4,7,6,4,9.005632787,24.94251886,19.80276257,17.98722688
E01000261,6,6,5,4,19.04825763,18.81037361,14.27033406,17.39066229
E01000262,5,7,6,4,11.63652617,22.14728086,16.19190925,16.71345918
E01000263,7,4,6,4,25.15104787,10.92576594,17.19921358,17.6903467
E01000264,9,1,6,7,46.58042499,2.377044075,20.25897371,22.86519656
E01000265,9,2,8,8,47.75174594,4.533441437,27.05275663,26.22685594
E01000266,8,3,8,7,30.52050029,8.003294972,31.690012,23.25058935
E01000267,8,4,7,5,27.38140131,9.596635064,21.98822697,19.55483326
E01000268,10,1,7,8,61.66962255,0.400622536,22.09034955,27.77700246
E01000269,8,2,6,5,34.4346986,4.346691754,17.27288056,18.54137632
E01000270,9,2,7,7,42.36905682,2.807568316,22.49909409,22.36106303
E01000271,8,4,6,5,28.1491195,9.922624113,19.1856622,18.99417016
E01000272,7,4,7,5,25.73486337,10.57931806,23.26262728,19.76614005
E01000273,9,2,7,7,44.35040564,3.034890299,24.81414196,23.85616341
E01000274,9,2,7,8,49.44827731,2.932070073,23.0556378,24.92319581
E01000275,5,4,7,4,15.11639144,11.15789722,24.74064841,16.94650821
E01000276,4,6,6,4,10.27540168,20.07722522,20.55890902,17.00157911
E01000277,7,2,8,6,26.0147143,4.892700272,30.9239347,20.45327226
E01000278,5,6,7,5,13.72837575,19.6296784,23.88271579,19.08575087
E01000279,5,8,5,5,11.64103822,30.97408082,13.77288934,18.91778358
E01000280,8,4,6,5,27.81304774,11.01341904,18.51035339,19.03128485
E01000281,9,2,7,8,48.51475845,3.562987532,26.30484083,25.90188353
E01000282,9,3,6,5,36.42715749,5.090063521,19.01838723,20.02765135
E01000283,5,5,6,3,14.69926361,12.9271999,19.94217388,15.82692234
E01000284,8,2,8,6,30.03750386,4.15623119,30.35905071,21.34398161
E01000285,6,3,7,3,15.88487868,7.00664032,21.85698621,14.83707312
E01000286,6,3,6,3,17.75402253,7.620491895,20.13460191,15.09421331
E01000287,5,3,6,2,13.21918397,6.969043355,19.78346655,13.26034941
E01000288,8,3,6,4,28.78495774,6.30617816,16.66870046,17.14380778
E01000289,6,4,5,3,20.52170043,9.148523815,14.73537144,14.74533182
E01000290,4,7,5,3,9.244280081,24.35312321,13.75606297,15.8701751
E01000291,6,3,6,3,19.07442609,7.816063968,17.97047708,14.8822798
E01000292,9,1,6,5,36.43511291,1.776836577,19.27982001,18.9900523
E01000293,9,1,6,7,48.37170186,1.219414179,18.41565226,22.45442768
E01000294,8,2,7,6,34.96844321,3.064707322,25.08132792,20.85842496
E01000295,9,1,9,9,50.20309183,2.325220311,38.90506304,30.19626601
E01000296,9,2,8,8,46.8541472,3.462211181,32.64161361,27.41075287
E01000297,8,2,8,6,29.41540707,3.011312539,30.22098329,20.70385508
E01000298,10,1,8,9,53.81151551,1.24352089,34.70617233,29.63363409
E01000299,10,1,9,9,57.05612333,0.308355742,41.08396183,32.49106905
E01000300,8,3,8,7,29.48392165,5.06631744,35.19601101,23.06692571
E01000301,8,3,8,7,27.26361555,7.715406798,32.34220684,22.2931597
E01000302,9,1,9,8,41.08071569,2.367996635,37.31642257,26.67617448
E01000303,7,5,8,7,22.6850613,13.90097451,31.61031038,22.64380399
E01000304,7,5,8,6,24.83175135,13.69184012,28.19726831,22.15480213
E01000305,8,4,9,9,35.45125095,8.169545848,42.86177168,28.62094306
E01000306,9,2,9,8,39.13953684,4.675672244,39.16640135,27.43068817
E01000307,7,4,9,8,24.72789086,9.999805862,48.331627,27.50957489
E01000308,8,4,9,8,31.27515611,11.36919431,39.68593577,27.28268639
E01000309,8,3,9,8,33.90593049,7.7694934,36.35568228,25.82795997
E01000310,8,4,9,9,27.13049621,9.130714961,50.23206618,28.63408867
E01000311,8,3,9,9,28.47140668,7.175476496,50.42616696,28.47586131
E01000312,8,4,9,8,29.78386154,11.07497558,38.52434856,26.30720103
E01000313,9,3,9,9,49.7585951,6.220458008,36.11902313,30.45456974
E01000314,10,1,9,10,61.79709818,0.625932729,47.03425009,36.12716206
E01000315,9,3,8,7,35.97818774,8.044166278,27.60253381,23.71665464
E01000316,7,2,8,5,23.72039641,4.67233904,30.42431151,19.45634889
E01000317,9,2,9,8,40.51008086,2.427171009,41.83295213,27.99843903
E01000318,8,2,8,6,32.24252771,3.424928222,29.20333136,21.44160909
E01000319,7,2,8,5,26.04339401,4.763844009,29.42127176,19.92304667
E01000320,8,2,9,7,30.32242271,4.179055553,36.48821947,23.46839081
E01000321,9,1,8,7,40.80966246,0.689753493,33.36582504,24.71242706
E01000322,8,2,9,8,35.73249576,2.498017927,40.54810875,26.02192558
E01000323,10,1,9,9,53.73823713,0.249432655,41.22724756,31.42341705
E01000324,9,2,8,7,39.97181283,3.804998683,29.07971496,24.08070372
E01000325,7,3,8,7,26.89630939,7.965572799,33.25007047,22.5566001
E01000326,5,4,9,6,12.81485517,8.081244578,45.09960382,21.85939462
E01000327,9,3,9,8,39.73486654,6.763716497,37.29163314,27.7184085
E01000328,8,6,7,7,27.88608783,16.31764787,24.34371423,22.78383495
E01000329,9,5,7,9,45.5840104,14.836776,26.72004772,28.90484302
E01000330,10,4,8,9,53.69887603,10.0587051,33.46118044,32.18277837
E01000331,7,7,7,7,26.02651926,22.09034955,20.87224286,22.98731035
E01000332,6,4,8,5,18.63111526,8.53721782,31.83721481,19.55720298
E01000333,6,4,8,5,20.16988133,8.284690666,30.57799604,19.56359436
E01000334,5,6,8,7,14.60872784,20.58951832,32.32001856,22.48692254
E01000335,3,8,9,9,7.874984729,35.5225149,49.40162258,30.97893548
E01000336,6,5,8,6,20.16726619,12.4782684,34.10399499,22.15212745
E01000337,5,6,8,6,12.38765949,20.48057529,31.76566048,21.53399119
E01000338,6,5,8,6,15.98059054,12.47452488,33.26161974,20.49126786
E01000339,7,2,8,6,24.9876206,4.588501358,31.1041333,20.07036925
E01000340,9,4,9,9,39.87612512,9.962860536,37.71392671,28.99208969
E01000341,9,4,9,9,39.37039825,10.9739338,44.95317606,31.55791701
E01000342,7,5,8,7,25.13156987,12.90049213,33.08898659,23.59895095
E01000343,9,2,8,9,50.09716373,4.753138503,33.32408625,29.14507958
E01000344,7,2,8,5,26.85954953,2.866653439,29.32566863,19.51578416
E01000345,7,4,8,6,22.33185033,9.894165842,31.761331,21.21476623
E01000346,8,4,7,6,31.46027491,11.33710854,21.23094931,21.24272089
E01000347,9,3,7,8,47.86917449,6.521164352,21.87951199,25.23426242
E01000348,8,7,7,7,32.25800501,21.14211093,20.75658927,24.68313383
E01000349,8,6,8,8,30.00138398,17.56409222,29.0104716,25.4457037
E01000350,8,3,7,6,31.69216994,6.764446555,26.3920831,21.46771533
E01000351,7,7,7,7,22.30026843,25.04089001,21.72089391,23.04088617
E01000352,9,5,7,8,41.73589617,15.38245107,21.04410425,25.9474335
E01000353,9,4,9,9,36.69651471,9.992244034,45.00701473,30.35952769
E01000354,9,4,10,10,37.26137119,8.840440407,67.30427504,37.51241299
E01000355,8,4,9,9,34.45415748,9.814002628,43.6865612,29.12319806
E01000356,10,2,9,10,74.47631902,3.222509903,42.20145583,39.59931907
E01000357,9,4,9,9,39.67371933,9.341253284,42.66272192,30.34705173
E01000358,9,3,9,10,50.31435895,6.157798988,48.64517657,34.75029838
E01000359,7,3,9,8,26.45558428,6.690827444,48.58662181,27.03880934
E01000360,10,2,8,10,78.28245684,3.392118696,35.29928197,38.63529416
E01000361,9,3,7,7,39.53066007,6.445438382,25.79323339,23.74833389
E01000362,10,4,8,9,54.99903782,8.736004694,33.07981578,32.03626328
E01000363,8,5,8,8,34.11598124,13.30343196,31.66844377,26.23202712
E01000364,7,7,7,7,23.42474953,20.75122416,25.06514422,23.05708115
E01000365,9,4,9,9,48.89457112,8.541160993,41.06124845,32.5894152
