longitude,latitude,rank,metro_area,pop,year,name,Y,X
499943.2577844952,141578.9028524153,6,St. Louis,176,1860,"St. Louis, MO, USA",38.6270025,-90.19940419999999
571370.0657730749,-825013.831012461,7,New Orleans,172,1860,"New Orleans, LA, USA",29.95106579999999,-90.0715323
688894.5581520521,520848.0215347835,8,Chicago,123,1860,"Chicago, IL, USA",41.8781136,-87.6297982
1796324.3447050054,788287.1398821838,9,Albany,116,1860,"Albany, NY, USA",42.6525793,-73.7562317
1812151.3849968635,571633.1880056176,10,Newark,103,1860,"Newark, NJ, USA",40.735657,-74.1723667
1339643.7539514583,442625.07253996487,11,Pittsburgh,93,1860,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
1383166.0954311108,728166.9433833254,12,Buffalo,90,1860,"Buffalo, NY, USA",42.88644679999999,-78.8783689
886053.5483151034,132148.6722439323,13,Louisville,88,1860,"Louisville, KY, USA",38.2526647,-85.7584557
1618357.9362595072,319724.89159618074,14,"Washington, DC",80,1860,"Washington, DC, USA",38.9071923,-77.0368707
2005241.5662940776,745291.7254146772,15,Providence,69,1860,"Providence, RI, USA",41.8239891,-71.4128343
1057362.9018611417,613370.7849437178,16,Detroit,59,1860,"Detroit, MI, USA",42.331427,-83.0457538
-2275432.307784675,349152.707042558,17,San Francisco,57,1860,"San Francisco, CA, USA",37.7749295,-122.4194155
1478682.3236268333,776933.5041766829,18,Rochester,56,1860,"Rochester, NY, USA",43.15657789999999,-77.6088465
1180833.0887593785,537148.6327121885,19,Cleveland,49,1860,"Cleveland, OH, USA",41.49932,-81.6943605
655140.6668297618,648176.321968156,20,Milwaukee,48,1860,"Milwaukee, WI, USA",43.0389025,-87.9064736
1826306.8215123028,572323.5961299175,1,New York,1687,1870,"New York, NY, USA",40.7127753,-74.0059728
1750159.3590360114,467500.28292565123,2,Philadelphia,747,1870,"Philadelphia, PA, USA",39.9525839,-75.1652215
2017891.0935164597,810721.5487696491,3,Boston,501,1870,"Boston, MA, USA",42.3600825,-71.0588801
499943.2577844952,141578.9028524153,4,St. Louis,345,1870,"St. Louis, MO, USA",38.6270025,-90.19940419999999
688894.5581520521,520848.0215347835,5,Chicago,324,1870,"Chicago, IL, USA",41.8781136,-87.6297982
1645401.3846196022,369094.44625939615,6,Baltimore,283,1870,"Baltimore, MD, USA",39.2903848,-76.6121893
981897.663930694,239101.6451391023,7,Cincinnati,257,1870,"Cincinnati, OH, USA",39.1031182,-84.5120196
571370.0657730749,-825013.831012461,8,New Orleans,196,1870,"New Orleans, LA, USA",29.95106579999999,-90.0715323
1339643.7539514583,442625.07253996487,9,Pittsburgh,170,1870,"Pittsburgh, PA, USA",40.44062479999999,-79.9958864
1796324.3447050054,788287.1398821838,10,Albany,157,1870,"Albany, NY, USA",42.6525793,-73.7562317
-2275432.307784675,349152.707042558,11,San Francisco,151,1870,"San Francisco, CA, USA",37.7749295,-122.4194155
1383166.0954311108,728166.9433833254,12,Buffalo,133,1870,"Buffalo, NY, USA",42.88644679999999,-78.8783689
886053.5483151034,132148.6722439323,13,Louisville,129,1870,"Louisville, KY, USA",38.2526647,-85.7584557
1618357.9362595072,319724.89159618074,14,"Washington, DC",123,1870,"Washington, DC, USA",38.9071923,-77.0368707
2005241.5662940776,745291.7254146772,15,Providence,101,1870,"Providence, RI, USA",41.8239891,-71.4128343
1057362.9018611417,613370.7849437178,16,Detroit,101,1870,"Detroit, MI, USA",42.331427,-83.0457538
1180833.0887593785,537148.6327121885,17,Cleveland,101,1870,"Cleveland, OH, USA",41.49932,-81.6943605
655140.6668297618,648176.321968156,18,Milwaukee,75,1870,"Milwaukee, WI, USA",43.0389025,-87.9064736
1478682.3236268333,776933.5041766829,19,Rochester,73,1870,"Rochester, NY, USA",43.15657789999999,-77.6088465
1898074.298640454,658263.9733892003,20,New Haven,65,1870,"New Haven, CT, USA",41.308274,-72.9278835
1826306.8215123028,572323.5961299175,1,New York,2234,1880,"New York, NY, USA",40.7127753,-74.0059728
1750159.3590360114,467500.28292565123,2,Philadelphia,949,1880,"Philadelphia, PA, USA",39.9525839,-75.1652215
2017891.0935164597,810721.5487696491,3,Boston,658,1880,"Boston, MA, USA",42.3600825,-71.0588801
688894.5581520521,520848.0215347835,4,Chicago,543,1880,"Chicago, IL, USA",41.8781136,-87.6297982
499943.2577844952,141578.9028524153,5,St. Louis,386,1880,"St. Louis, MO, USA",38.6270025,-90.19940419999999
