city,other_name,country,latitude,longitude,certainty,year,population
Ferrara,NA,Italy,44.82678,11.62071,1,1797,30117
Granada,NA,Spain,37.177336,-3.598558,1,1797,52000
Gwalior,NA,India,26.22982,78.17337,1,1797,30000
Kiev,NA,Ukraine,50.45466,30.5238,1,1797,19081
Leipzig,NA,Germany,51.33962,12.37129,1,1797,31847
Limerick,NA,Ireland,52.6653,-8.630497,1,1797,27000
Mannheim,NA,Germany,49.49671,8.47955,1,1797,21000
Naples,NA,Italy,40.851775,14.268122,1,1797,438000
New Orleans,Louisiana,United States of America,29.95465,-90.07507,1,1797,8056
Poznan,Posen,Poland,52.40692,16.92993,1,1797,12376
Seville,NA,Spain,37.388097,-5.982331,1,1797,96000
Zaragoza,NA,Spain,41.648792,-0.889581,1,1797,55000
Alexandria,NA,Egypt,31.200092,29.918739,1,1798,4000
Bucharest,NA,Romania,44.43225,26.10626,1,1798,32185
Cairo,"Fostat, Fustat",Egypt,30.06263,31.24967,1,1798,186000
Catania,NA,Italy,37.50213,15.08719,1,1798,48000
Haarlem,NA,Netherlands,52.38084,4.63683,1,1798,21227
Jaipur,Jeypore,India,26.91962,75.78781,1,1798,77000
Kermanshah,NA,Iran,34.31417,47.065,1,1798,8000
Konigsberg,"Kaliningrad, Kˆnigsberg",Germany,54.716667,20.516667,2,1798,49900
Krakow,Cracow,Poland,50.06143,19.93658,1,1798,24543
Kyoto,NA,Japan,35.02107,135.75385,1,1798,379274
Leiden,Leyden,Netherlands,52.15833,4.49306,1,1798,30967
Liege,LiËge,Belgium,50.63373,5.56749,1,1798,39208
Magdeburg,NA,Germany,52.130808,11.628878,1,1798,37450
Mainz,NA,Germany,49.98419,8.2791,1,1798,26615
Messina,NA,Italy,38.19327,15.54969,1,1798,37000
Palermo,NA,Italy,38.115689,13.361267,1,1798,133000
Tokyo,"Yedo, Edo",Japan,35.6895,139.69171,1,1798,685000
Valletta,Valetta,Malta,35.89972,14.51472,1,1798,39000
Aachen,Aix-la-Chapelle,Germany,50.77664,6.08342,1,1799,23699
Barcelona,NA,Spain,41.38879,2.15899,1,1799,115000
Budapest,NA,Hungary,47.49801,19.03991,1,1799,54179
Fez,Fes,Morocco,34.033333,-5.01,1,1799,70000
Florence,Firenze,Italy,43.771033,11.248,1,1799,58716
Genova,Genoa,Italy,44.40565,8.946256,1,1799,90835
Hiroshima,NA,Japan,34.396775,132.460017,1,1799,49000
Madrid,NA,Spain,40.416775,-3.703789,1,1799,184404
Nagara,"Bednur, Bidanur",India,13.824,75.034,3,1799,10000
Parma,NA,Italy,44.80266,10.32898,1,1799,33608
Rabat,NA,Morocco,34.01325,-6.83255,1,1799,43000
Rio de Janeiro,NA,Brazil,-22.90278,-43.2075,1,1799,43376
Srirangapatna,"Shrirangapattana, Seringapatam",India,12.417956,76.694687,3,1799,150000
Aachen,Aix-la-Chapelle,Germany,50.77664,6.08342,1,1800,23000
Aberdeen,NA,United Kingdom,57.14369,-2.09814,1,1800,26000
Abomey-Calavi,NA,Benin,7.18286,1.99119,1,1800,24000
Achin,Aceh,Indonesia,5.55,95.316667,3,1800,40000
Acre,NA,Israel,32.927778000000004,35.081667,2,1800,30000
Adana,NA,Turkey,37.00167,35.32889,1,1800,30000
Agra,NA,India,27.18333,78.01667,1,1800,60000
Ahmedabad,Asawal,India,23.039568,72.566004,1,1800,89000
Ajmer,NA,India,26.44976,74.64116,1,1800,23000
Akita,NA,Japan,39.71667,140.11667,1,1800,39000
Albany,New York,United States of America,42.652578,-73.756233,1,1800,5389
Aleppo,NA,Syria,36.216667,37.166667,1,1800,72000
Algiers,NA,Algiers,36.7525,3.04197,1,1800,73000
Alkalawa,Gobir,Nigeria,9.2833,8.4,3,1800,50000
Almeria,AlmerÌa,Spain,36.83814,-2.45974,1,1800,7200
Amarapura,NA,Myanmar,21.892983,96.05,1,1800,175000
Amiens,NA,France,49.892,2.299,1,1800,35000
Amritsar,NA,India,31.63661,74.87476,1,1800,40000
Amsterdam,NA,Netherlands,52.37403,4.88969,1,1800,195000
Angers,NA,France,47.46667,-0.55,1,1800,28000
Ankara,Angora,Turkey,39.91987,32.85427,1,1800,30000
Anqing,Anking,China,30.50917,117.05056,1,1800,40000
Antwerp,Antwerpen,Belgium,51.219217,4.402883,1,1800,53906
Arakan,Rakhine,Myanmar,19.810092,93.987842,1,1800,16000
Arequipa,NA,Peru,-16.39889,-71.535,1,1800,26000
Asyut,NA,Egypt,27.18096,31.18368,1,1800,25000
Athens,NA,Greece,37.97945,23.71622,1,1800,12000
Augsberg,Ausburg,Germany,48.371444,10.898239,1,1800,28000
Aurangabad,NA,India,19.876165,75.343314,1,1800,30000
Avignon,NA,France,43.94834,4.80892,1,1800,19000
Ayacucho,"Guamanga, Huamanga",Peru,-13.1615,-74.22154,1,1800,25000
Ayvalik,Aivali,Turkey,39.33589,26.71281,1,1800,25000
Baghdad,Bagdad,Iraq,33.34058,44.40088,1,1800,80000
Bahawalpur,NA,Pakistan,29.3956,71.68333,1,1800,25000
Baltimore,Maryland,United States of America,39.29038,-76.61219,1,1800,26519
Banda,Uttar Pradesh,India,25.4833,80.3333,3,1800,25000
Bandar Seri Begawan,NA,Brunei,4.890283,114.942217,3,1800,18000
Bangalore,NA,India,12.97194,77.59369,1,1800,50000
Bangkok,NA,Thailand,13.75398,100.50144,1,1800,45000
Barcelona,NA,Spain,41.38879,2.15899,1,1800,113000
Bareilly,NA,India,28.34702,79.42193,1,1800,65000
Bari,NA,Italy,41.117142,16.871872,1,1800,18000
Basra,Basrah,Iraq,30.5,47.816667,2,1800,60000
Bath,NA,United Kingdom,51.37795,-2.35907,1,1800,31000
Beijing,Peking,China,39.9075,116.39723,1,1800,1100000
Belfast,NA,Ireland,54.597283,-5.930117,1,1800,18000
Belgrade,Beograd,Serbia,44.80401,20.46513,1,1800,26000
Bellary,NA,India,15.14575,76.91751,1,1800,25000
Benin,Oedo,Nigeria,6.339081,5.626483,2,1800,15000
Bergamo,NA,Italy,45.69798,9.66895,1,1800,16000
Berlin,NA,Germany,52.52437,13.41053,1,1800,172132
Besancon,BesanÁon,France,47.248779999999996,6.01815,1,1800,25000
Bhagalpur,Boglipore,India,25.24446,86.97183,1,1800,23000
Bharatpur,Bhurtpore,India,27.21731,77.49009,3,1800,75000
Bhuj,NA,India,23.25397,69.66928,1,1800,20000
Bihar,"Udantapura, Odantapuri",India,25.096074,85.313119,3,1800,30000
Bikaner,NA,India,28.02094,73.30749,1,1800,35000
Birmingham,NA,United Kingdom,52.48142,-1.89983,1,1800,71000
Bitlis,NA,Turkey,38.40115,42.10784,1,1800,26000
Bogota,"Bacata, Funza, Bogot·",Columbia,4.598056,-74.075833,1,1800,21464
Bologna,NA,Italy,44.49381,11.33875,1,1800,66948
Bonga,NA,Ethiopia,7.28333,36.23333,2,1800,30000
Bordeaux,NA,France,44.84044,-0.5805,1,1800,92000
Boston,NA,United States of America,42.358431,-71.059772,1,1800,35248
Bratislava,"Pozsony, Pressburg",Slovakia,48.145892,17.107136,2,1800,18000
Braunschweig,Brunswick,Germany,52.268875,10.526769,1,1800,31000
Bremen,NA,Germany,53.07516,8.80777,1,1800,28000
Brescia,NA,Italy,45.52478,10.22727,1,1800,27000
Brest,NA,France,48.3908,-4.486075,1,1800,27000
Bristol,NA,United Kingdom,51.45523,-2.59665,1,1800,66000
Broach,NA,India,21.724644,73.002294,3,1800,35000
Brugge,Bruges,Belgium,51.210819,3.224936,1,1800,31000
Brunn,Brno,Austria,49.2,16.6167,2,1800,22000
Brussel,Brussels,Belgium,50.85045,4.34878,1,1800,66297
Bucharest,NA,Romania,44.43225,26.10626,1,1800,35000
Budapest,NA,Hungary,47.49801,19.03991,1,1800,54000
Buenos Aires,NA,Argentina,-34.61315,-58.37723,1,1800,34000
Bukhara,Bokhara,Uzbekistan,39.765869,64.422347,1,1800,70000
Bursa,Brusa,Turkey,40.19266,29.08403,1,1800,50000
Busan,Pusan,Republic of Korea,35.179554,129.075642,3,1800,28000
Cadiz,NA,Spain,36.52978,-6.29465,1,1800,87000
Caen,NA,France,49.18585,-0.35912,1,1800,29000
Cairo,"Fostat, Fustat",Egypt,30.06263,31.24967,1,1800,186000
Calcutta,Kolkata,India,22.56263,88.36304,1,1800,162000
Cambay,NA,India,22.313114,72.619408,3,1800,37000
Campulung Muscel,NA,Romania,47.5308,25.5514,1,1800,4000
Caracas,NA,Venezuela,10.48801,-66.87919,1,1800,30000
Cartagena,NA,Spain,37.625683,-0.996583,1,1800,29000
Catania,NA,Italy,37.50213,15.08719,1,1800,48000
Chandannagar,Chandernagore,India,22.87,88.38,2,1800,45000
